transaction_id,customer_id,transaction_date,amount,transaction_type,category,merchant,payment_channel,location,status
TXN1001,CUST01,2026-02-03,1200,debit,Food,Swiggy,UPI,Mumbai,completed
TXN1002,CUST01,2026-02-05,800,debit,Travel,Uber,Card,Mumbai,completed
TXN1003,CUST01,2026-02-10,2000,debit,Bills,Electricity,NetBanking,Mumbai,completed
TXN1004,CUST01,2026-02-15,1500,debit,Shopping,Amazon,Card,Mumbai,completed
TXN1005,CUST01,2026-02-20,1000,debit,Food,Zomato,UPI,Mumbai,completed

TXN2001,CUST01,2026-03-02,1800,debit,Food,Swiggy,UPI,Mumbai,completed
TXN2002,CUST01,2026-03-05,1400,debit,Travel,Uber,Card,Mumbai,completed
TXN2003,CUST01,2026-03-08,2200,debit,Bills,Electricity,NetBanking,Mumbai,completed
TXN2004,CUST01,2026-03-12,2500,debit,Shopping,Amazon,Card,Mumbai,completed
TXN2005,CUST01,2026-03-15,8500,debit,Food,Restaurant,Card,Mumbai,completed
TXN2006,CUST01,2026-03-18,5400,debit,Travel,Ola,UPI,Mumbai,completed
TXN2007,CUST01,2026-03-22,2000,debit,Food,Zomato,UPI,Mumbai,completed
TXN2008,CUST01,2026-03-28,3000,debit,Shopping,Flipkart,Card,Mumbai,completed

TXN3001,CUST02,2026-03-04,5000,credit,Salary,Company,NetBanking,Delhi,completed
TXN3002,CUST02,2026-03-10,1500,debit,Food,Swiggy,UPI,Delhi,completed
TXN3003,CUST02,2026-03-15,3000,debit,Shopping,Myntra,Card,Delhi,completed